,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
LINK,0.3999630217580148,4.35829463,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,0.144171017343084,0.144171017343084
BNB,0.1593202071168762,17.360715,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.014417101734308399,0.014417101734308399
TRX,0.15795784422408218,0.01652719,104145119673.46,104145119673.46,0.0,0.0,0.0,0.0,15.014707854639958,15.014707854639958
VET,0.05178507858784212,0.0065073,86716263400.0,86716263400.0,0.0,0.0,0.0,0.0,12.501971914568838,12.501971914568838
ZIL,0.03288309952290451,0.01706281,20999982720.4,20999982720.4,0.0,0.0,0.0,0.0,3.0275888729872524,3.0275888729872524
ZRX,0.030423345918434888,0.33151541,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,0.14417101734308396,0.14417101734308396
BAT,0.030399170348038258,0.22083465,1500000000.0,1500000000.0,0.0,0.0,0.0,0.0,0.21625652601462597,0.21625652601462597
OMG,0.02221607512518871,1.72613779,140245398.25,140245398.25,0.0,0.0,0.0,0.0,0.02021932174338847,0.02021932174338847
NMR,0.019321145925566108,22.76529372,9248182.0,9248182.0,0.0,0.0,0.0,0.0,0.001333319807513997,0.001333319807513997
SNT,0.018308284918396544,0.02931734,6804870174.89,6804870174.89,0.0,0.0,0.0,0.0,0.981065056001501,0.981065056001501
REP,0.013195468516041843,13.07160377,11000000.0,11000000.0,0.0,0.0,0.0,0.0,0.0015858811907739235,0.0015858811907739235
KNC,0.011551862128435356,0.70633442,178212585.95999998,178212585.95999998,0.0,0.0,0.0,0.0,0.025693089821195,0.025693089821195
MCO,0.011065646144512243,5.45327911,22111377.4,22111377.4,0.0,0.0,0.0,0.0,0.003187819774614874,0.003187819774614874
DGD,0.008453210678580169,46.05623608,,2000000.0,,,,,0.0002883420346861679,
AION,0.008424217546340639,0.10188153,901012592.0,901012592.0,0.0,0.0,0.0,0.0,0.12989990202756904,0.12989990202756904
AE,0.006047184044848123,0.13084286,503616445.26,503616445.26,0.0,0.0,0.0,0.0,0.07260689526384174,0.07260689526384174
IOST,0.005549280020697308,0.00503323,12013973042.669352,12013971820.763948,-1221.905403137207,-1.0170702058331926e-05,-0.1221905403137207,-0.0006150130932232284,1.7320665397306814,1.6098759994169607
MANA,0.0050689284406251235,0.04032369,1370175175.4102097,1369785731.9725733,-389443.4376363754,-0.02842289399380693,-38.94434376363755,-1.5703796451783538,0.19748340252052685,-38.74686036111702
GNT,0.004717518400460591,0.05140559,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,0.14417101734308393,0.14417101734308393
FUN,0.003349410634114666,0.00331797,11000000000.0,11000000000.0,0.0,0.0,0.0,0.0,1.5858811907739239,1.5858811907739239
