,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BTC,17898062.0,10497.35955314,187882392118.39203,0.7851861974635063,0.1,0.12735832637283181,23928387015.122536,0.1,2279467.221637179
XRP,42909539227.0,0.26135737,11214724320.280552,0.04686786582477516,0.1,2.133658066997757,23928387015.12254,0.10000000000000002,91554284522.84526
ETH,107480999.6865,178.00475441,19132128952.936718,0.07995578197914208,0.1,1.2506912886686148,23928387015.12254,0.10000000000000002,134425550.00529966
XLM,19636142840.5366,0.06267244,1230644984.0049593,0.005143033599495036,0.1,19.44377730874992,23928387015.122536,0.1,381800788594.1977
BCH,17968462.5,297.56786819,5346837080.776958,0.022345162995724713,0.1,4.475241465865921,23928387015.12254,0.10000000000000002,80413208.45785683
LTC,63117286.5076922,68.38809455,4316470957.427494,0.018039122130127372,0.1,5.54350701096417,23928387015.122536,0.1,349891120.26842594
EOS,929076209.454,3.33614966,3099537280.2840505,0.012953389956143592,0.1,7.71998684040015,23928387015.12254,0.10000000000000002,7172456110.713734
BSV,17854985.7508877,134.03250879,2393148534.6011806,0.010001294834828318,0.1,9.998705332809699,23928387015.12254,0.10000000000000002,178526741.24464202
ADA,25927070538.0,0.04557335,1181583460.1029623,0.004937998785109132,0.1,20.251118793620755,23928387015.12254,0.10000000000000002,525052185435.6228
BNB,155536713.0,22.41530244,3486402462.41848,0.014570152431148424,0.1,6.863346177917644,23928387015.122536,0.1,1067502304.6944236
