,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.7070635605889879,6465.0528619,20986335.65,20986335.65,0.0,0.0,0.0,0.0,-0.0,0.0
ETH,0.09365249136737461,132.98409164,135135633.79999998,135135633.79999998,0.0,0.0,0.0,0.0,-0.0,0.0
XRP,0.09124517078300363,0.17508951,100000000000.0,100000000000.0,0.0,0.0,0.0,0.0,-0.0,0.0
BCH,0.024194177519655174,221.26119355,20982433.29,20982433.29,0.0,0.0,0.0,0.0,-0.0,0.0
BSV,0.01824149008709546,166.82484875,20982141.46,20982141.46,0.0,0.0,0.0,0.0,-0.0,0.0
XTZ,0.015812475290286652,1.57721194,1923800541.46,1923800541.46,0.0,0.0,0.0,0.0,-0.0,0.0
LTC,0.016668961119727772,38.13269883,83880542.21,83880542.21,0.0,0.0,0.0,0.0,-0.0,0.0
EOS,0.015898781939521368,2.23271099,1366411730.19,1366411730.19,0.0,0.0,0.0,0.0,-0.0,0.0
XLM,0.01061567756703579,0.04074065,50000000000.0,50000000000.0,0.0,0.0,0.0,0.0,-0.0,0.0
ADA,0.006607213737311599,0.03017688,42014022058.74,42014022058.74,0.0,0.0,0.0,0.0,-0.0,0.0
