,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BTC,20986335.65,9091.27562931,190792561843.3646,0.643679160349191,0.014285714285714285,0.022193843090965372,4234420180.474941,0.014285714285714284,465767.44047043275
XRP,100000000000.0,0.29249297,29249297000.0,0.09867870503893486,0.014285714285714285,0.14476998132553204,4234420180.4749403,0.014285714285714282,14476998132.553204
ETH,135135633.79999998,181.79688397,24567237138.15101,0.08288278337688491,0.014285714285714285,0.17236045537653133,4234420180.4749403,0.014285714285714282,23292039.379364178
XLM,142283354823.16,0.06713007,9551491569.11357,0.032223981972299406,0.014285714285714285,0.44332554238624716,4234420180.4749403,0.014285714285714282,63077845449.51227
BCH,20982433.29,280.48748318,5885309904.504348,0.01985534080115862,0.014285714285714285,0.7194897548613555,4234420180.474941,0.014285714285714284,15096645.784216844
LTC,83880542.21,57.7392164,4843196778.412523,0.01633955121528182,0.014285714285714285,0.8743027331346376,4234420180.474941,0.014285714285714284,73336987.31101833
EOS,1366411730.19,3.2313103,4415300297.803768,0.014895951712798406,0.014285714285714285,0.9590333374563901,4234420180.474941,0.014285714285714284,1310434401.9436762
BSV,20982141.46,126.98303677,2664376040.5285215,0.008988837489534163,0.014285714285714285,1.5892727287980626,4234420180.474941,0.014285714285714284,33346345.214161165
BNB,100000000.0,19.88597389,1988597389.0,0.006708954926004786,0.014285714285714285,2.1293501660506005,4234420180.4749403,0.014285714285714282,212935016.60506004
ADA,42014022058.74,0.04114871,1728822809.628695,0.005832550303548582,0.014285714285714285,2.4493083715064943,4234420180.474941,0.014285714285714284,102905295949.13039
LINK,1000000000.0,2.72487975,2724879750.0,0.00919295958179154,0.014285714285714285,1.5539842374603652,4234420180.4749403,0.014285714285714282,1553984237.4603653
TRX,104145119673.46,0.0197088,2052575334.6202884,0.006924798090538329,0.014285714285714285,2.0629791798887993,4234420180.4749403,0.014285714285714282,214849213573.3754
XTZ,1923800541.46,0.8776661,1688454518.4010866,0.005696359313967704,0.014285714285714285,2.507867481372731,4234420180.474941,0.014285714285714284,4824636818.574786
XMR,22466083.47,58.75823087,1320067319.2749505,0.004453526990076729,0.014285714285714285,3.207730483624656,4234420180.4749403,0.014285714285714282,72065140.79437499
DASH,17600805.03,71.64650162,1261036106.095199,0.00425437267626689,0.014285714285714285,3.3578897225923465,4234420180.474941,0.014285714285714284,59101562.31958868
NEO,100000000.0,10.39048736,1039048736.0,0.0035054512161718657,0.014285714285714285,4.075285435383986,4234420180.4749403,0.014285714285714282,407528543.53839856
ETC,194571423.67,4.80067797,934074747.2041054,0.0031512992077611835,0.014285714285714285,4.533277655936537,4234420180.4749403,0.014285714285714282,882046287.4069724
ONT,1000000000.0,0.84337518,843375180.0,0.0028453049871379333,0.014285714285714285,5.020802462404621,4234420180.4749403,0.014285714285714282,5020802462.404621
