,Float,Price,Mkt Cap,Weight,Weight Cap,Weight1,Weight_step2,Weight2,Weight_step3,Weight3,Weight_step4,Weight4,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BTC,17847700.0,9680.33468146,172771709294.29367,0.8955653818815269,2.0,0.8955653818815269,0.8955653818815271,0.8955653818815271,0.8955653818815271,0.8955653818815271,0.8955653818815271,0.8955653818815271,1.0000000000000002,172771709294.2937,0.8955653818815269,17847700.000000004
XLM,19617690557.705,0.08431009,1653969256.512259,0.00857338053133233,2.0,0.00857338053133233,0.008573380531332333,0.008573380531332333,0.008573380531332333,0.008573380531332333,0.008573380531332333,0.008573380531332333,1.0000000000000002,1653969256.5122595,0.00857338053133233,19617690557.705006
LTC,62894518.333385706,91.12816354,5731461952.454301,0.02970914007365619,2.0,0.02970914007365619,0.029709140073656198,0.029709140073656198,0.029709140073656198,0.029709140073656198,0.029709140073656198,0.029709140073656198,1.0000000000000002,5731461952.454302,0.02970914007365619,62894518.33338572
BCH,17920512.5,331.91708295,5948124233.969012,0.03083221305636039,2.0,0.03083221305636039,0.030832213056360396,0.030832213056360396,0.030832213056360396,0.030832213056360396,0.030832213056360396,0.030832213056360396,1.0000000000000002,5948124233.969013,0.03083221305636039,17920512.500000004
BSV,17854985.7508877,149.71031839,2673075601.6143107,0.013855937304412482,2.0,0.013855937304412482,0.013855937304412485,0.013855937304412485,0.013855937304412485,0.013855937304412485,0.013855937304412485,0.013855937304412485,1.0000000000000002,2673075601.614311,0.013855937304412484,17854985.750887703
DASH,8949253.00091992,106.04146984,948991942.1875792,0.0049191174560879415,2.0,0.0049191174560879415,0.004919117456087942,0.004919117456087942,0.004919117456087942,0.004919117456087942,0.004919117456087942,0.004919117456087942,1.0000000000000002,948991942.1875794,0.004919117456087942,8949253.000919921
XMR,17127780.5391127,79.32406203,1358645125.9208024,0.0070425623848182056,2.0,0.0070425623848182056,0.007042562384818207,0.007042562384818207,0.007042562384818207,0.007042562384818207,0.007042562384818207,0.007042562384818207,1.0000000000000002,1358645125.9208026,0.0070425623848182056,17127780.539112702
ZEC,7084693.75,67.37758348,477349544.57085925,0.0024743502794568576,2.0,0.0024743502794568576,0.002474350279456858,0.002474350279456858,0.002474350279456858,0.002474350279456858,0.002474350279456858,0.002474350279456858,1.0000000000000002,477349544.5708594,0.002474350279456858,7084693.750000002
DOGE,120565841757.214,0.00283262,341517214.6783196,0.0017702608605991627,2.0,0.0017702608605991627,0.0017702608605991632,0.0017702608605991632,0.0017702608605991632,0.0017702608605991632,0.0017702608605991632,0.0017702608605991632,1.0000000000000002,341517214.67831963,0.0017702608605991627,120565841757.21404
MIOTA,2779530283.0,,,,2.0,,,,,,,,,,,
BTG,17513923.589,18.38228013,321945849.58841306,0.0016688123241328757,2.0,0.0016688123241328757,0.0016688123241328761,0.0016688123241328761,0.0016688123241328761,0.0016688123241328761,0.0016688123241328761,0.0016688123241328761,1.0000000000000002,321945849.5884131,0.0016688123241328757,17513923.589000005
MONA,65729674.8711679,1.90259962,125057254.43260759,0.000648236613971455,2.0,0.000648236613971455,0.0006482366139714551,0.0006482366139714551,0.0006482366139714551,0.0006482366139714551,0.0006482366139714551,0.0006482366139714551,1.0000000000000002,125057254.43260762,0.000648236613971455,65729674.87116791
XZC,8043493.32977799,8.9895268,72307198.85366048,0.00037480571569653803,2.0,0.00037480571569653803,0.00037480571569653814,0.00037480571569653814,0.00037480571569653814,0.00037480571569653814,0.00037480571569653814,0.00037480571569653814,1.0000000000000002,72307198.8536605,0.00037480571569653803,8043493.329777991
NANO,133248297.19700001,1.30520826,173916778.13245925,0.0009015008675899286,2.0,0.0009015008675899286,0.0009015008675899288,0.0009015008675899288,0.0009015008675899288,0.0009015008675899288,0.0009015008675899288,0.0009015008675899288,1.0000000000000002,173916778.13245928,0.0009015008675899286,133248297.19700004
BCD,186492897.95299998,1.09457302,204130094.52096698,0.001058112157365916,2.0,0.001058112157365916,0.0010581121573659162,0.0010581121573659162,0.0010581121573659162,0.0010581121573659162,0.0010581121573659162,0.0010581121573659162,1.0000000000000002,204130094.52096704,0.0010581121573659162,186492897.953
XVG,15852220749.1206,0.00567571,89972607.82799128,0.00046637469304132857,2.0,0.00046637469304132857,0.0004663746930413287,0.0004663746930413287,0.0004663746930413287,0.0004663746930413287,0.0004663746930413287,0.0004663746930413287,1.0000000000000002,89972607.82799129,0.00046637469304132857,15852220749.120604
PIVX,56781165.992093995,0.47503003,26972758.98465939,0.0001398137999511746,2.0,0.0001398137999511746,0.00013981379995117464,0.00013981379995117464,0.00013981379995117464,0.00013981379995117464,0.00013981379995117464,0.00013981379995117464,1.0000000000000002,26972758.984659396,0.00013981379995117464,56781165.99209401
