,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.6738400964950758,11350.62334892,20986335.65,20986335.65,0.0,0.0,0.0,0.0,-0.0,0.0
ETH,0.13191212906353256,345.07565765,135135633.79999998,135135633.79999998,0.0,0.0,0.0,0.0,-0.0,0.0
XRP,0.07166827776035126,0.25335323,100000000000.0,100000000000.0,0.0,0.0,0.0,0.0,-0.0,0.0
ATOM,0.023545818033723784,3.79711374,,2192096427.8,,,,,-0.0,
LINK,0.02170900723936395,7.67431181,1000000000.0,1000000000.0,0.0,0.0,0.0,0.0,-0.0,0.0
BCH,0.01769861488903218,298.18301772,20982433.29,20982433.29,0.0,0.0,0.0,0.0,-0.0,0.0
ADA,0.016478770459902276,0.13865324,,42014022058.74,,,,,-0.0,
XTZ,0.015573756381961195,2.86175738,1923800541.46,1923800541.46,0.0,0.0,0.0,0.0,-0.0,0.0
LTC,0.013891577841886344,58.54500198,83880542.21,83880542.21,0.0,0.0,0.0,0.0,-0.0,0.0
XLM,0.013681951835170653,0.09673364,50000000000.0,50000000000.0,0.0,0.0,0.0,0.0,-0.0,0.0
