,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
XRP,0.25,0.26013645,37554830319.375336,61134435150.84093,23579604831.46559,62.787142508537364,2357960.4831465594,613391.4693260308,-2570340.677080096,-212380.19393353676
ETH,0.25,181.26869018,55140278.22234842,87733269.97123985,32592991.748891428,59.109226140395954,3259.299174889143,590808.8923369097,-3688.6640398970894,-429.36486500794626
EOS,0.1617477002188453,3.10227044,2046000246.4426558,3316695215.389124,1270694968.946468,62.10629598680659,127069.49689464681,394203.94404193456,-139447.37699068003,-12377.880096033216
ADA,0.06343679722708788,0.03957037,57096277108.91305,101980759431.93178,44884482323.01873,78.61192462233586,4488448.232301873,177609.55727803108,-4287686.532159091,200761.70014278218
XTZ,0.06702396209598417,0.91304709,1454266678.1173575,4669646717.93044,3215380039.8130827,221.09975344931922,321538.0039813083,293579.338859542,-196330.9692332224,125207.03474808592
ETC,0.035410678292893065,4.76955994,248833181.1061145,472283789.4900135,223450608.38389897,89.7993617212203,22345.060838389898,106576.10703164726,-19856.73429805161,2488.3265403382866
NEO,0.030198726886999972,7.91428629,155339749.46424726,242730294.39874148,87390544.93449423,56.25768371321334,8739.054493449423,69163.37916506967,-10205.370307476052,-1466.3158140266296
RVN,0.024331157307011846,0.03072303,9426123320.934305,50378568873.19669,40952445552.26239,434.4569252697114,4095244.5552262394,125818.3213275524,-2118120.246115948,1977124.3091102913
ONT,0.02420854000218884,0.6344417,1174830101.3266356,2427302943.987415,1252472842.6607792,106.6088484834078,125247.28426607793,79462.09995015373,-102053.70307476053,23193.581191317397
XEM,0.014112894236968505,0.04109573,19819689739.72486,21845726493.45943,2026036753.7345695,10.222343438978054,202603.67537345696,8326.145940155237,-918483.3275707911,-715879.6521973342
DCR,0.014118613517945947,17.94452212,22665395.97366275,50050365.97083863,27384969.99717588,120.82281743057695,2738.496999717588,49141.01998698589,-2104.321259208075,634.1757405095132
VET,0.011689018486877884,0.00353265,122121737606.3161,210486641442.40808,88364903836.09198,72.35804662471637,8836490.383609198,31216.227753657033,-8849715.796776323,-13225.413167124614
LSK,0.007530529133584781,0.85236457,263441675.85541168,562014095.973777,298572420.1183654,113.33530245314525,29857.24201183654,25449.255248804988,-23629.361887609197,6227.880124227344
ZRX,0.007973478191608445,0.20896374,1322360568.0009403,2427302943.9874144,1104942375.986474,83.55832763955257,110494.2375986474,23089.289137061984,-102053.70307476053,8440.534523886876
QTUM,0.007155489783544004,1.73919973,211345447.06705132,261720059.98877913,50374612.92172781,23.835201382760808,5037.461292172781,8761.151319232353,-11003.777405273835,-5966.316113101054
KMD,0.004595946799654311,0.60223795,254674880.3109869,485460588.7974829,230785708.486496,90.61973768464344,23078.5708486496,13898.791196820495,-20410.7406149521,2667.8302336974994
ZIL,0.004158889663472905,0.00519017,19131197891.96706,50973319880.91175,31842121988.94469,166.4408165591909,3184212.198894469,16526.602628336106,-2143126.001122803,1041086.1977716661
BTS,0.003972974979601174,0.02951463,6036196620.291336,8562993046.039861,2526796425.7485247,41.86073755872071,252679.64257485248,7457.746159129018,-360023.1079175596,-107343.46534270715
NULS,0.00351979203197024,0.36838668,161975198.88905865,607799291.623426,445824092.7343673,275.2421949731482,44582.40927343674,16423.565738642574,-25554.358012886136,19028.0512605506
WAVES,0.0032589319266870657,0.86270679,220218774.9103005,240302991.45475402,20084216.54445353,9.120120004588262,2008.4216544453532,1732.6789984730397,-10103.31660440129,-8094.894949955938
ARK,0.002591954204908851,0.17785212,249823859.48911375,927076093.8519653,677252234.3628516,271.09189480453256,67725.22343628516,12045.074565617,-38978.055311981625,28747.168124303535
ARDR,0.0020450664350762362,0.05364945,2199984449.2490892,2424874415.25544,224889966.006351,10.22234343897801,22488.9966006351,1206.5222986759427,-101951.5978345657,-79462.6012339306
WAN,0.0015834496289379334,0.1979159,233767718.81974617,508944788.37492204,275177069.5551759,117.7138875052974,27517.70695551759,5446.191738037524,-21398.112025084924,6119.594930432668
ELF,0.0015695604517357792,0.07696081,1100609393.2168958,1297345117.8053849,196735724.58848906,17.875163141526862,19673.572458848907,1514.0940720267035,-54545.67332271462,-34872.10086386571
WTC,0.0011605877556969172,0.71594079,92938355.70876028,103121205.73185799,10182850.023097709,10.956563568875243,1018.2850023097709,729.0317689988092,-4335.635540070804,-3317.3505377610336
NAS,0.0010222809827225635,0.51568703,107087357.84347859,126104672.22746816,19017314.383989573,17.758692311547854,1901.7314383989574,980.6982373255863,-5301.954091771069,-3400.222653372112
AION,0.0015829797579955277,0.06471067,,1556132487.2207682,,,,,-65426.14847034119,
