Ticker,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
XRP,0.2499999999999999,0.32825,19844743721.170414,23060278529.917683,3215534808.7472687,16.203458477102583,321553.4808747269,105549.9300971291,7302.300018100414,328855.7808928273
ETH,0.2499999999999999,138.06099,57437336.68918451,54827481.87917152,-2609854.8100129887,-4.543829781202979,-260.98548100129887,-36031.91388266551,17.361747014427905,-243.62373398687095
EOS,0.1852313040295187,3.52369,1679170233.3658965,1591644104.1688356,-87526129.19706082,-5.212463123623545,-8752.612919706084,-30841.49461903913,504.0122458019154,-8248.600673904168
ADA,0.06510465551210587,0.043289999999999995,48039944404.74053,45535880018.034164,-2504064386.7063675,-5.2124631236235786,-250406.43867063677,-10840.094730051864,14419.455387258764,-235986.983283378
ONT,0.03033627964436665,0.973,995927020.7447002,944014692.0501801,-51912328.694520116,-5.212463123623545,-5191.232869452012,-5051.069581976808,298.9330113208174,-4892.299858131195
ETC,0.027198715356045365,4.32072,199815113.51783523,190599406.27238637,-9215707.245448858,-4.61211721335898,-921.5707245448858,-3981.849060955579,60.35547428740197,-861.2152502574838
NEO,0.03473614882760409,9.21292,120437686.22959168,114159916.24792874,-6277769.981662944,-5.2124631236235786,-627.7769981662944,-5783.659261946218,36.1500385783314,-591.626959587963
XTZ,0.01920409194446579,0.42158,1449854158.7459323,1379250187.6715798,-70603971.0743525,-4.86972918265256,-7060.39710743525,-2976.522212552553,436.75529145636597,-6623.641815978885
VET,0.014732454922223227,0.00458,102751383842.88644,97395505851.06308,-5355877991.823364,-5.212463123623568,-535587.7991823364,-2452.992120255101,30841.39695955596,-504746.40222278045
XEM,0.0223751361336892,0.04286,16675987322.24442,15806757632.57229,-869229689.6721287,-5.212463123623545,-86922.96896721287,-3725.518449934744,5005.389956443579,-81917.57901076929
ZIL,0.008370590762784152,0.01743,15264903985.404547,14540789833.19181,-724114152.2127361,-4.74365350024536,-72411.41522127362,-1262.1309673067992,4604.50682433669,-67806.90839693694
DCR,0.008900124697139208,16.3751,17085290.168529876,16456648.96185121,-628641.2066786662,-3.6794295003346633,-62.86412066786662,-1029.4062623483826,5.211185452772899,-57.65293521509372
LSK,0.007964334513839974,1.1952,211514441.47550258,201761446.5290261,-9752994.94647649,-4.611030281639694,-975.299494647649,-1165.6779560028701,63.89006155018597,-911.4094330974631
ZRX,0.008018487044235202,0.23659000000000002,1081964768.8133514,1026184196.7004188,-55780572.11293256,-5.15548876643277,-5578.057211293257,-1319.7125556198719,324.9529214670147,-5253.104289826242
HOT,0.00927265283695212,0.0012,,233965611427.88266,,,,,74087.87740131428,
WAVES,0.015427556015953765,2.6596599999999997,185288748.04552564,175630640.38142887,-9658107.664096773,-5.212463123623545,-965.8107664096773,-2568.728262989162,55.6154439666637,-910.1953224430135
RVN,0.0018761793998186265,0.010879999999999999,,5221253055.643345,,,,,1653.3692875073582,
QTUM,0.01077962986969879,2.0815099999999997,165301598.91300535,156803091.93434462,-8498506.978660733,-5.1412128101273264,-849.8506978660733,-1768.9727261152102,49.65348617037942,-800.1972116956939
KMD,0.006298623310613756,0.97077,206729250.2368656,196452954.22169244,-10276296.015173167,-4.970895992414626,-1027.6296015173168,-997.5919882649657,62.20906695935147,-965.4205345579653
BTS,0.007350385564721486,0.04704,4977596927.495,4731208442.851083,-246388484.64391708,-4.949948503924229,-24638.84846439171,-1159.0114317649861,1498.1910757515732,-23140.65738864014
ELF,0.0023129674869154446,0.14240999999999998,518808494.52747166,491765793.0680008,-27042701.459470868,-5.212463123623534,-2704.270145947087,-385.1151114843246,155.72324310665834,-2548.5469028404286
NULS,0.0014962800128244017,0.40896,,110779988.87649556,,,,,35.07974605460607,
WTC,0.0024598541356303212,1.0343200000000001,75963493.22282963,72008490.54782327,-3955002.67500636,-5.206451819434954,-395.500267500636,-409.0738366812579,22.802309224000087,-372.6979582766359
STRAT,0.005008153584291392,0.87013,183785930.30252773,174270056.15499,-9515874.147537738,-5.177694577530378,-951.5874147537738,-828.0047571997012,55.18459946457055,-896.4028152892033
POWR,0.0020351207803473883,0.08852,733537784.7201632,696110297.383228,-37427487.33693528,-5.102325758340243,-3742.7487336935283,-331.3081179065511,220.43125934435858,-3522.3174743491695
AION,0.0018385918331791159,0.1086,507972182.2658012,512607287.5305005,4635105.26469928,0.9124722625606152,463.51052646992804,50.33724317463419,162.32293986198175,625.8334663319098
NAS,0.0016716817810359052,0.63339,84306380.36071417,79911941.37355013,-4394438.987164035,-5.212463123623556,-439.44389871640357,-278.33937100798283,25.305027004831985,-414.1388717115716
