,Float,Price,Mkt Cap,Weight,Weight Cap,Weight1,Weight_step2,Weight2,Weight_step3,Weight3,Weight_step4,Weight4,AWF,Adj Mkt Cap,Adj Weight,Adj Float
BTC,20986335.65,8569.05302089,179833022899.04398,0.8758251429427746,2.0,0.8758251429427746,0.8758251429427746,0.8758251429427746,0.8758251429427746,0.8758251429427746,0.8758251429427746,0.8758251429427746,1.0,179833022899.04398,0.8758251429427746,20986335.65
BCH,20982433.29,315.50828963,6620131639.603473,0.03224145179837557,2.0,0.03224145179837557,0.03224145179837557,0.03224145179837557,0.03224145179837557,0.03224145179837557,0.03224145179837557,0.03224145179837557,1.0,6620131639.603473,0.03224145179837557,20982433.29
LTC,83880542.21,58.06030025,4870129465.845398,0.02371856829637122,2.0,0.02371856829637122,0.02371856829637122,0.02371856829637122,0.02371856829637122,0.02371856829637122,0.02371856829637122,0.02371856829637122,1.0,4870129465.845398,0.02371856829637122,83880542.21
BSV,20982141.46,228.60707042,4796665890.308622,0.023360785028824722,2.0,0.023360785028824722,0.023360785028824722,0.023360785028824722,0.023360785028824722,0.023360785028824722,0.023360785028824722,0.023360785028824722,1.0,4796665890.308622,0.023360785028824722,20982141.46
XLM,50000000000.0,0.05604937,2802468500.0,0.013648618785566616,2.0,0.013648618785566616,0.013648618785566616,0.013648618785566616,0.013648618785566616,0.013648618785566616,0.013648618785566616,0.013648618785566616,1.0,2802468500.0,0.013648618785566616,50000000000.0
DASH,17600805.03,84.73721081,1491443126.2528183,0.007263645843148074,2.0,0.007263645843148074,0.007263645843148074,0.007263645843148074,0.007263645843148074,0.007263645843148074,0.007263645843148074,0.007263645843148074,1.0,1491443126.2528183,0.007263645843148074,17600805.03
XMR,22466083.47,64.8953806,1457945037.3770185,0.007100503012065112,2.0,0.007100503012065112,0.007100503012065112,0.007100503012065112,0.007100503012065112,0.007100503012065112,0.007100503012065112,0.007100503012065112,1.0,1457945037.3770185,0.007100503012065112,22466083.47
ZEC,20924230.74,49.06582564,1026664657.139968,0.005000075656842486,2.0,0.005000075656842486,0.005000075656842486,0.005000075656842486,0.005000075656842486,0.005000075656842486,0.005000075656842486,0.005000075656842486,1.0,1026664657.139968,0.005000075656842486,20924230.74
DOGE,280666706295.71,0.00227891,639614163.6443565,0.0031150572751953657,2.0,0.0031150572751953657,0.0031150572751953657,0.0031150572751953657,0.0031150572751953657,0.0031150572751953657,0.0031150572751953657,0.0031150572751953657,1.0,639614163.6443565,0.0031150572751953657,280666706295.71
IOT,2779530283.28,0.21125807,587198203.152286,0.002859780378047159,2.0,0.002859780378047159,0.002859780378047159,0.002859780378047159,0.002859780378047159,0.002859780378047159,0.002859780378047159,0.002859780378047159,1.0,587198203.152286,0.002859780378047159,2779530283.28
ZEN,20865535.36,9.95541095,207724979.20055616,0.0010116649137530522,2.0,0.0010116649137530522,0.0010116649137530522,0.0010116649137530522,0.0010116649137530522,0.0010116649137530522,0.0010116649137530522,0.0010116649137530522,1.0,207724979.20055616,0.0010116649137530522,20865535.36
BTG,20983114.73,12.01561465,252125020.7524188,0.0012279025775143722,2.0,0.0012279025775143722,0.0012279025775143722,0.0012279025775143722,0.0012279025775143722,0.0012279025775143722,0.0012279025775143722,0.0012279025775143722,1.0,252125020.7524188,0.0012279025775143722,20983114.73
MONA,105082725.0,1.6227358,170521499.81905502,0.0008304760413090633,2.0,0.0008304760413090633,0.0008304760413090633,0.0008304760413090633,0.0008304760413090633,0.0008304760413090633,0.0008304760413090633,0.0008304760413090633,1.0,170521499.81905502,0.0008304760413090633,105082725.0
BCD,210000000.0,0.62992207,132283634.7,0.0006442494899012967,2.0,0.0006442494899012967,0.0006442494899012967,0.0006442494899012967,0.0006442494899012967,0.0006442494899012967,0.0006442494899012967,0.0006442494899012967,1.0,132283634.7,0.0006442494899012967,210000000.0
DGB,21000000000.0,0.00579581,121712010.0,0.0005927634248574326,2.0,0.0005927634248574326,0.0005927634248574326,0.0005927634248574326,0.0005927634248574326,0.0005927634248574326,0.0005927634248574326,0.0005927634248574326,1.0,121712010.0,0.0005927634248574326,21000000000.0
XZC,21347303.34,4.90586104,104726903.76476787,0.0005100423380594779,2.0,0.0005100423380594779,0.0005100423380594779,0.0005100423380594779,0.0005100423380594779,0.0005100423380594779,0.0005100423380594779,0.0005100423380594779,1.0,104726903.76476787,0.0005100423380594779,21347303.34
NANO,133248289.0,0.72584746,96717932.11999594,0.0004710369394817938,2.0,0.0004710369394817938,0.0004710369394817938,0.0004710369394817938,0.0004710369394817938,0.0004710369394817938,0.0004710369394817938,0.0004710369394817938,1.0,96717932.11999594,0.0004710369394817938,133248289.0
XVG,16500000000.0,0.00363904,60044160.0,0.0002924278542790285,2.0,0.0002924278542790285,0.0002924278542790285,0.0002924278542790285,0.0002924278542790285,0.0002924278542790285,0.0002924278542790285,0.0002924278542790285,1.0,60044160.0,0.0002924278542790285,16500000000.0
PIVX,175458680.4,0.33446498,58684784.0308124,0.00028580740363357015,2.0,0.00028580740363357015,0.00028580740363357015,0.00028580740363357015,0.00028580740363357015,0.00028580740363357015,0.00028580740363357015,0.00028580740363357015,1.0,58684784.0308124,0.00028580740363357015,175458680.4
