Symbol,name,Price,percentageChange24HrUsd,Marketcap,Current Marketcap,Volume,Y2050 Supply,Available Supply,Supply % Issued
HOT,Holochain,0.001214299,-7.881765877,303574871,161762389.9,13495754.94,2.5E+11,1.33215E+11,53.28583006
QKC,QuarkChain,0.029864178,-12.54879342,298641779.3,23940615.82,2820100.311,10000000000,801649919,8.01649919
LSK,Lisk,1.179639725,-8.119434642,276421493.2,135514974.3,3277378.128,234327047,114878273,49.02476025
WAVES,Waves,2.661790251,-7.881118966,266179025.1,266179025.1,15472611.89,100000000,100000000,100
BTG,Bitcoin Gold,12.49210594,-6.576331875,260881429,217536583.5,10539851.25,20883702.89,17413924,83.38523148
GAS,NEO GAS,2.568215391,-13.01499052,256821539.1,26011848.56,5649669.177,100000000,10128375,10.128375
ZRX,0x,0.239186499,-5.747272402,239186499.2,139753180.3,14156091.16,1000000000,584285404,58.4285404
SC,Siacoin,0.002428599,-6.419571685,220953047.7,96088589.43,2456462.434,90979635000,39565441104,43.48823899
HSR,Hcash,2.602776942,-0.199262811,218633263.1,113298310.3,7233203.603,84000000,43529781,51.82116786
RVN,Ravencoin,0.010386435,-8.365122562,218115145.4,30877418.62,2802726.648,21000000000,2972860000,14.15647619
DGB,Digibyte,0.010292547,-8.409328267,216143481.2,118121257.5,3055715.309,21000000000,11476387786,54.64946565
QTUM,Qtum,2.078794421,-11.96362677,207879442.1,185594832.5,463307346.4,100000000,89280032,89.280032
STEEM,Steem,0.306920992,-12.60982187,207608835.4,96279434.88,2537065.832,676424358.9,313694525,46.37540338
ICX,Icon,0.245136708,-9.147512605,196222129.5,98111064.77,18442544.74,800460000,400230000,50
BAT,Basic Attention Token,0.130814595,-8.122681827,196221892.3,162088019.8,8172947.844,1500000000,1239066787,82.60445247
KMD,Komodo,0.93748136,-2.179055343,187496272.1,104862672.2,6397653.335,200000000,111855741,55.9278705
BTM,Bytom,0.087737748,-14.6413632,184249270.6,87957028.65,10513261.36,2100000000,1002499275,47.73806071
OMG,OmiseGO,1.310006743,-2.13335334,183722417,183722417,66344361.86,140245398,140245398,100
RDD,ReddCoin,0.001214299,-13.30048553,169845481.7,34982405.54,118767.3425,1.39871E+11,28808713174,20.59660651
BTS,BitShares,0.045595151,-8.179757126,164168556.5,122826042.1,22790955.3,3600570502,2693840000,74.81703243
IOST,IOST,0.007052793,-13.14383468,148108656.6,84732014.62,11956414.86,21000000000,12013965609,57.20936004
BCD,Bitcoin Diamond,0.733923318,-7.072162569,142271501,112845755.8,2586955.256,193850634.8,153756875,79.31718933
REP,Augur,12.66768112,-10.10329449,139344492.3,139344492.3,3932576.818,11000000,11000000,100
SNT,Status,0.019776517,-11.14035165,134576631.2,68634081.91,16824742.09,6804870174,3470483788,50.99999999
