Ticker,Float,Price,Mkt Cap,Weight,Equal,AWF,Adj Mkt Cap,Adj Weight,Adj Float
HOT,133214575156.0,0.00107,142539595.41692,0.04340783307349029,0.025,0.5759329187816061,82093245.23041598,0.02500000000000001,76722659093.84671
WAVES,100000000.0,2.61846,261845999.99999997,0.07974042178045869,0.025,0.31351727821091785,82093245.23041598,0.02500000000000001,31351727.821091786
GAS,10128375.0,2.36957,23999893.54875,0.007308729689448892,0.025,3.4205670564189523,82093245.23041598,0.02500000000000001,34644785.86005731
SC,39565441104.0,0.00238,94165749.82752001,0.0286764610057805,0.025,0.871795163111675,82093245.230416,0.025000000000000015,34492960180.84705
HC,43529781.0,1.14238,49727551.218779996,0.015143618418058247,0.025,1.65086040270193,82093245.230416,0.025000000000000015,71861591.79118682
RVN,2972860000.0,0.013369999999999998,39747138.199999996,0.012104265731132732,0.025,2.065387571234399,82093245.230416,0.025000000000000015,6140108095.019896
DGB,11476387786.0,0.011040000000000001,126699321.15744,0.038583966561994684,0.025,0.6479375302130049,82093245.230416,0.025000000000000015,7435982357.827536
QTUM,89280032.0,2.07832,185552476.10624,0.05650662109453672,0.025,0.4424260292997257,82093245.23041598,0.02500000000000001,39499810.05351245
STEEM,313694525.0,0.41796000000000005,131111763.66900001,0.03992769542152976,0.025,0.6261318049055126,82093245.23041598,0.02500000000000001,196414119.12722743
ICX,400230000.0,0.29774,119164480.2,0.03628936822558725,0.025,0.6889070056163933,82093245.23041598,0.02500000000000001,275721250.85784906
BAT,1239066787.0,0.16341,202475903.66367,0.06166034218021497,0.025,0.40544698774022997,82093245.230416,0.025000000000000015,502375896.39811516
KMD,111855741.0,1.03284,115529083.53444,0.03518227450083672,0.025,0.7105850987378727,82093245.23041598,0.02500000000000001,79483022.76288292
OMG,140245398.0,1.30302,182742558.50196,0.05565091195659448,0.025,0.44922893661651075,82093245.230416,0.025000000000000015,63002291.00889932
RDD,28808713174.0,0.00118,33994281.545320004,0.01035233820087945,0.025,2.4149133765622346,82093245.23041598,0.02500000000000001,69570546805.43727
BTS,2693840000.0,0.04589,123620317.6,0.037646312206633906,0.025,0.664075669956182,82093245.23041598,0.02500000000000001,1788913602.7547612
IOST,12013965609.0,0.0073,87701948.9457,0.02670802838270729,0.025,0.9360481291156186,82093245.23041598,0.02500000000000001,11245650031.563833
BCD,153756875.0,0.74151,114012260.38125,0.0347203536847779,0.025,0.7200387480776298,82093245.230416,0.025000000000000015,110710907.78332861
REP,11000000.0,12.4626,137088600.0,0.04174783187557797,0.025,0.5988334933059059,82093245.230416,0.025000000000000015,6587168.426364965
SNT,3470483788.0,0.019969999999999998,69305561.24635999,0.02110574416075158,0.025,1.1845116575652523,82093245.23041598,0.02500000000000001,4110828504.277216
ELF,280000000.0,0.15569000000000002,43593200.00000001,0.013275513678879542,0.025,1.88316630186396,82093245.230416,0.025000000000000015,527286564.52190876
GNO,1104590.0,12.824589999999999,14165913.868099999,0.00431397060389673,0.025,5.795125255934281,82093245.23041598,0.02500000000000001,6401237.406452448
AE,233020472.0,0.46453,108244999.85816,0.0329640397192066,0.025,0.758402192600007,82093245.23041598,0.02500000000000001,176723236.88548854
NANO,133248289.0,0.92527,123290644.36303,0.03754591623737825,0.025,0.6658513762706274,82093245.230416,0.025000000000000015,88723556.6163563
XZC,6868563.0,5.34305,36699075.537149996,0.01117603386068626,0.025,2.236929514677122,82093245.23041598,0.02500000000000001,15364491.298119238
QASH,350000000.0,0.10430999999999999,36508499.99999999,0.011117997557999266,0.025,2.248606358256735,82093245.230416,0.025000000000000015,787012225.3898573
NULS,63075548.0,0.42466000000000004,26785662.213680003,0.008157084708522331,0.025,3.064820446682451,82093245.230416,0.025000000000000015,193315229.19610038
ZEN,5882463.0,5.65411,33260092.87293,0.010128754436365904,0.025,2.4682205652297116,82093245.23041598,0.02500000000000001,14519216.150802866
WTC,40999959.0,1.10172,45170474.82948,0.013755843949979486,0.025,1.817409392757562,82093245.23041598,0.02500000000000001,74513710.58927494
PIVX,56781166.0,0.7286600000000001,41374164.41756,0.012599746879731907,0.025,1.9841668438764655,82093245.230416,0.025000000000000015,112663306.93384567
XVG,15172086051.0,0.0059299999999999995,89970470.28243,0.027398865165430032,0.025,0.9124465502149063,82093245.23041598,0.02500000000000001,13843717576.79865
STRAT,99225315.0,0.86261,85592748.97215,0.026065710014238,0.025,0.9591144836010272,82093245.230416,0.025000000000000015,95168436.75637427
STORJ,135787439.0,0.2176,29547346.7264,0.00899810533846838,0.025,2.7783626729863777,82093245.230416,0.025000000000000015,377266751.9780147
POWR,396349006.0,0.09018,35742753.36108,0.010884803390570895,0.025,2.296780116548231,82093245.230416,0.025000000000000015,910326516.1944555
POLY,373831587.0,0.08646000000000001,32321479.012020003,0.009842916710534888,0.025,2.539897546145287,82093245.230416,0.025000000000000015,949493930.4928983
DGD,2000000.0,15.54611,31092220.0,0.009468568306908693,0.025,2.640314690633734,82093245.23041598,0.02500000000000001,5280629.3812674675
LRC,788984491.0,0.0561,44262029.945099995,0.013479193635501655,0.025,1.8547103540492744,82093245.230416,0.025000000000000015,1463337704.6419966
AION,291866662.0,0.11292999999999999,32960502.139659997,0.0100375195447408,0.025,2.490655175172123,82093245.230416,0.025000000000000015,726939212.1705128
GNT,963622000.0,0.06426,61922349.72,0.018857321801019945,0.025,1.3257449951693467,82093245.230416,0.025000000000000015,1277517043.7350762
PPT,53252246.0,1.16266,61914256.33436,0.01885485710809141,0.025,1.3259182955712485,82093245.230416,0.025000000000000015,70608127.25166084
NAS,45500000.0,0.62168,28286440.0,0.008614119200857138,0.025,2.902211986747572,82093245.23041598,0.02500000000000001,132050645.39701453
