Ticker,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.6580828376328143,3814.12001,17504850.0,17556200.0,51350.0,0.2933472723273933,5.135000000000001,19585.50625135,-4.832583968810287,0.30241603118971394
XRP,0.06678735642604908,0.31143000000000004,21821174210.0,21821174210.0,0.0,0.0,0.0,0.0,-6006.576404225429,-6006.576404225429
ETH,0.14024798707053512,135.91846,104593906.0,104993521.0,399615.0,0.3820633680130525,39.9615,5431.50553929,-28.900901471477095,11.060598528522906
XLM,0.015872187861405943,0.08421000000000001,19166823282.0,19178623630.0,11800348.0,0.061566529968914985,1180.0348000000001,99.37073050800002,-5279.17824461923,-4099.14344461923
EOS,0.03125303263293541,3.50906,906245118.0,906245118.0,0.0,0.0,0.0,0.0,-249.45635325750368,-249.45635325750368
LTC,0.027142253905585344,45.561370000000004,60210775.0,60616861.0,406086.0,0.6744407458631807,40.6086,1850.1834497820003,-16.685619365705644,23.92298063429436
BCH,0.022748535006202424,131.21871000000002,17589725.0,17640138.0,50413.0,0.2866048218491235,5.041300000000001,661.5128827230002,-4.8556890503868235,0.18561094961317703
TRX,0.015472509775218106,0.02361,66660890242.0,66682072191.0,21181949.0,0.03177567674703674,2118.1949,50.010581589,-18355.15163174701,-16236.956731747008
ADA,0.010936260684459409,0.04292,25927070538.0,25927070538.0,0.0,0.0,0.0,0.0,-7136.780478699962,-7136.780478699962
BSV,0.011457039004795114,66.09224,17588661.0,17638686.0,50025.0,0.2844161929097311,5.0025,330.62643060000005,-4.85528936754414,0.1472106324558604
