,Weight,Price,Previous Float,Float,Float Change,Float Change Percent,Float Change Units per 1 bps,Funding,Funding Units per 1 bps,Total Flow Units per 1 bps
BTC,0.8942021776743154,10035.60661276,17789674.999999996,17847700.0,58025.000000003725,0.3261723443514386,5.802500000000373,58231.60737054365,-6.131746532519917,-0.3292465325195435
XLM,0.00821729132715994,0.08390174,19419882902.7924,19617690558.0,197807655.20759964,1.018583151081498,19780.765520759964,1659.6406457237672,-6739.843568362602,13040.921952397362
LTC,0.03068783894783797,97.73354998,62456775.85409369,62894518.33,437742.475906305,0.7008726754146322,43.7742475906305,4278.212614735781,-21.608008016970693,22.16623957365981
BCH,0.028930065800755234,323.3621315,17866149.999999996,17920512.5,54362.500000003725,0.3042765229218647,5.436250000000372,1757.8773873669952,-6.156761957162818,-0.7205119571624454
BSV,0.013059363712677302,146.50507621,17854985.750887696,17854985.75,-0.000887695699930191,-4.97170082880416e-09,-8.876956999301911e-08,-1.3005192616956193e-05,-6.134249621001867,-6.134249709771438
DASH,0.004769610990365965,106.75453582,8891879.131727466,8949253.001,57373.869272533804,0.6452389694301619,5.737386927253381,612.4920782386707,-3.074600708075842,2.6627862191775384
XMR,0.006887802966764087,80.55078713,17070711.161335595,17127780.54,57069.378664404154,0.33431166472819296,5.706937866440415,459.69833724377827,-5.884411377147033,-0.17747351070661743
ZEC,0.0023890754712274577,67.54589348,6867193.749999997,7084693.75,217500.0000000028,3.167232612302562,21.75000000000028,1469.123183190019,-2.434013701234782,19.315986298765498
DOGE,0.0017139992339455584,0.00284758,120149812688.09895,120566000000.0,416187311.90104675,0.3463903127185475,41618.73119010468,118.51266656231829,-41421.592274623414,197.13891548126412
IOT,0.004024363073046514,0.29001196,,2779530283.0,,,,,-954.9339788779143,
BTG,0.0016145052713117051,18.46486683,17513923.588999998,17513923.59,0.0010000020265579224,5.709743788884225e-09,1.0000020265579224e-07,1.846490425012216e-06,-6.0170744826392895,-6.017074382639087
MONA,0.0006221679212553391,1.8959911,65729674.87116789,65729674.87,-0.001167893409729004,-1.7768120308403468e-09,-1.1678934097290039e-07,-2.2143155105948448e-07,-22.582052923781998,-22.58205304057134
XZC,0.0003570935138714501,8.89257259,7821668.329777988,8043493.33,221825.0002220124,2.836031788480464,22.182500022201243,197.25949167510117,-2.763418386434923,19.419081635766318
NANO,0.0008343352383424699,1.2542066,133248297.19699997,133248297.2,0.003000035881996155,2.25146568055834e-09,3.0000358819961547e-07,3.7626648034363985e-07,-45.77871570680162,-45.77871540679803
BCD,0.0011085889219400807,1.19068916,186492897.95299995,186492898.0,0.04700005054473877,2.5202062658991053e-08,4.7000050544738775e-06,5.596245070307255e-06,-64.07140307440682,-64.07139837440177
XVG,0.00044626101606997965,0.00563883,15795471279.120596,15852220749.0,56749469.87940407,0.35927683876340044,5674.946987940407,32.000061324008,-5446.1807185475445,228.76626939286234
PIVX,0.00013545891911357125,0.47785206,56781165.99209398,56781165.99,-0.002093978226184845,-3.68780561643689e-09,-2.093978226184845e-07,-1.0006118089775741e-07,-19.50770786553003,-19.50770807492785
